Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
326,0,0.223148,0.224333,0.171083,0.933065,2102.262695,3020.613281,834.894226
327,0,0.216642,0.225164,0.173403,0.933970,2102.150635,3020.602295,835.105408
328,0,0.210863,0.224970,0.174136,0.935202,2102.303467,3020.244385,835.192566
329,0,0.205607,0.224401,0.174773,0.936389,2102.464844,3019.996094,835.553284
330,0,0.201192,0.223409,0.175162,0.937512,2102.852051,3019.565918,835.567566
331,0,0.197522,0.222041,0.175673,0.938521,2103.180664,3019.221680,835.605225
332,0,0.189582,0.217834,0.180435,0.940239,2103.578857,3018.719482,835.388367
333,0,0.182483,0.215760,0.182141,0.941792,2103.550049,3018.182617,835.377502
334,0,0.181958,0.211276,0.183369,0.942671,2103.756592,3018.127686,835.674011
335,0,0.181555,0.207133,0.183696,0.943605,2103.908447,3017.851074,835.673035
336,0,0.182015,0.207792,0.181541,0.943788,2103.570068,3017.822021,835.589417
337,0,0.182466,0.207943,0.180059,0.943952,2103.585938,3017.575928,835.590393
338,0,0.180109,0.205395,0.182283,0.944535,2103.926270,3017.071777,835.570374
