Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
233,0,-0.007405,0.039449,0.413143,0.909781,2073.845215,2907.529541,757.024658
234,0,-0.009324,0.039562,0.412937,0.909852,2073.821289,2907.450439,756.885986
235,0,-0.012706,0.039461,0.414215,0.909234,2073.458496,2907.380127,756.564819
236,0,-0.014607,0.039533,0.414889,0.908896,2073.409668,2907.304199,756.438477
237,0,-0.015535,0.039774,0.415201,0.908727,2073.514404,2907.245850,756.398865
238,0,-0.014484,0.040058,0.415367,0.908656,2073.648438,2907.157959,756.340637
239,0,-0.014176,0.039902,0.415218,0.908736,2073.702393,2907.086670,756.406616
240,0,-0.014085,0.039839,0.415139,0.908776,2073.735596,2907.067139,756.461243
241,0,-0.012286,0.040923,0.414013,0.909268,2073.851562,2906.901123,756.337585
242,0,-0.013056,0.040461,0.414207,0.909189,2073.821289,2906.981445,756.448914
243,0,-0.013722,0.040071,0.414249,0.909177,2073.793701,2907.034912,756.525513
244,0,-0.015251,0.040445,0.414120,0.909195,2073.857666,2907.169922,756.475220
245,0,-0.018309,0.040349,0.413874,0.909255,2073.793457,2907.338623,756.579895
246,0,-0.016528,0.040615,0.413782,0.909319,2073.729736,2907.448242,756.636475
247,0,-0.017778,0.039745,0.413965,0.909251,2073.611572,2907.555908,756.795227
248,0,-0.018879,0.039172,0.414122,0.909182,2073.518066,2907.616211,756.897400
249,0,-0.019809,0.038912,0.414170,0.909152,2073.472168,2907.635986,756.915283
250,0,-0.020203,0.038813,0.414280,0.909097,2073.490723,2907.547852,756.831421
251,0,-0.017909,0.039720,0.413738,0.909353,2073.619873,2907.250488,756.536194
252,0,-0.017146,0.041241,0.412265,0.909969,2073.830322,2906.652344,756.065918
253,0,-0.013964,0.042939,0.410632,0.910682,2074.132324,2906.231934,755.695068
254,0,-0.006471,0.043851,0.411171,0.910480,2074.255127,2906.166748,755.314697
255,0,-0.001384,0.043983,0.411542,0.910328,2074.321289,2906.007080,755.020386
256,0,0.002323,0.043661,0.411952,0.910156,2074.339111,2905.855469,754.830688
257,0,0.004939,0.043498,0.412172,0.910053,2074.338867,2905.748047,754.691711
258,0,0.006025,0.043552,0.412048,0.910101,2074.361084,2905.718262,754.582581
259,0,0.005064,0.044060,0.410778,0.910656,2074.541016,2905.743408,754.509399
260,0,0.008107,0.044111,0.414345,0.909014,2074.020752,2906.240967,754.608032
261,0,0.008994,0.044552,0.416242,0.908117,2073.767578,2906.628906,754.696533
262,0,0.008922,0.045046,0.417307,0.907604,2073.631592,2906.963867,754.811829
263,0,0.008515,0.045486,0.417902,0.907313,2073.523438,2907.216553,754.914978
264,0,0.011191,0.044374,0.420450,0.906161,2073.230469,2907.557373,755.161011
265,0,0.009845,0.044255,0.419995,0.906393,2073.167480,2907.507812,755.289795
266,0,0.010740,0.043391,0.420693,0.906101,2073.007812,2907.473877,755.533691
267,0,0.009318,0.043003,0.419824,0.906538,2072.926270,2907.274902,755.648254
268,0,0.005694,0.042771,0.418492,0.907195,2072.798584,2906.896484,755.523926
269,0,0.002318,0.042732,0.416990,0.907903,2072.694092,2906.629150,755.388916
270,0,-0.000722,0.042806,0.415450,0.908608,2072.618896,2906.419189,755.249146
271,0,-0.003452,0.043135,0.413956,0.909268,2072.599609,2906.280029,755.091064
272,0,-0.011311,0.041860,0.410481,0.910837,2072.850342,2905.903320,755.124512
273,0,-0.016500,0.041246,0.408149,0.911834,2072.975342,2905.791992,755.109924
274,0,-0.019869,0.040884,0.406438,0.912547,2073.048096,2905.745605,755.121826
275,0,-0.022223,0.040445,0.405064,0.913123,2073.083008,2905.691162,755.173828
276,0,-0.021043,0.040669,0.404726,0.913291,2073.156494,2905.565674,754.905396
277,0,-0.020205,0.040814,0.404529,0.913391,2073.197021,2905.507568,754.682373
278,0,-0.019350,0.040996,0.404421,0.913449,2073.245117,2905.458740,754.490173
279,0,-0.018563,0.041317,0.404315,0.913498,2073.327393,2905.390869,754.342102
280,0,-0.017914,0.041702,0.404234,0.913529,2073.463135,2905.318115,754.236267
281,0,-0.017491,0.042204,0.404178,0.913539,2073.628906,2905.240723,754.109924
282,0,-0.016902,0.042752,0.404357,0.913445,2073.813477,2905.190674,753.941956
283,0,-0.016287,0.044002,0.403526,0.913764,2074.113281,2905.214111,753.808044
284,0,-0.015752,0.044970,0.403050,0.913937,2074.344482,2905.180908,753.615723
285,0,-0.015384,0.045682,0.402796,0.914020,2074.529541,2905.125000,753.447571
286,0,-0.015055,0.046238,0.402623,0.914073,2074.673584,2905.054688,753.299194
287,0,-0.014847,0.046678,0.402466,0.914124,2074.755859,2905.032227,753.208313
288,0,-0.014612,0.047019,0.402451,0.914117,2074.801025,2905.045166,753.175720
289,0,-0.014424,0.047382,0.402428,0.914111,2074.812500,2905.061768,753.186462
290,0,-0.014353,0.047603,0.402394,0.914116,2074.810059,2905.094482,753.236023
291,0,-0.014355,0.047742,0.402345,0.914130,2074.785645,2905.142090,753.287659
292,0,-0.014519,0.047783,0.402277,0.914155,2074.763184,2905.185059,753.335815
293,0,-0.014617,0.047862,0.402216,0.914176,2074.763672,2905.208984,753.359131
294,0,-0.014709,0.047888,0.402200,0.914180,2074.784668,2905.209473,753.359802
295,0,-0.014693,0.047835,0.402265,0.914155,2074.812012,2905.224365,753.342224
296,0,-0.014547,0.047867,0.402376,0.914106,2074.828857,2905.260254,753.302307
297,0,-0.014287,0.047877,0.402577,0.914021,2074.830566,2905.317871,753.271729
298,0,-0.013791,0.047849,0.402890,0.913893,2074.804443,2905.378418,753.250854
299,0,-0.013075,0.047820,0.403255,0.913744,2074.746826,2905.431885,753.240662
300,0,-0.012207,0.047812,0.403571,0.913617,2074.667725,2905.454102,753.241882
301,0,-0.011508,0.047775,0.403780,0.913535,2074.575928,2905.432129,753.246887
302,0,-0.011030,0.047575,0.403952,0.913476,2074.485596,2905.410889,753.276123
303,0,-0.010513,0.047624,0.403973,0.913470,2074.398193,2905.387451,753.280945
304,0,-0.010374,0.047616,0.404030,0.913447,2074.342285,2905.391602,753.284790
305,0,-0.010427,0.047687,0.404061,0.913429,2074.314941,2905.418213,753.282898
306,0,-0.010517,0.047872,0.404125,0.913390,2074.310059,2905.476562,753.275696
307,0,-0.010590,0.048123,0.404151,0.913364,2074.322998,2905.544434,753.252075
308,0,-0.010626,0.048310,0.404233,0.913318,2074.347168,2905.628418,753.241333
309,0,-0.010579,0.048346,0.404390,0.913247,2074.374023,2905.701660,753.251282
310,0,-0.010219,0.048590,0.404373,0.913245,2074.394531,2905.720703,753.257812
311,0,-0.010078,0.048487,0.404454,0.913216,2074.414062,2905.717529,753.316345
312,0,-0.009766,0.048462,0.404581,0.913165,2074.428223,2905.691895,753.374390
313,0,-0.009285,0.048548,0.404720,0.913104,2074.440186,2905.663574,753.419434
314,0,-0.008595,0.048754,0.404959,0.912994,2074.453125,2905.657959,753.438599
315,0,-0.008754,0.048903,0.404767,0.913069,2074.501221,2905.612061,753.444885
316,0,-0.008465,0.049262,0.404716,0.913075,2074.549072,2905.580811,753.391296
317,0,-0.008253,0.049474,0.404695,0.913075,2074.598389,2905.566162,753.342285
318,0,-0.008277,0.049702,0.404558,0.913123,2074.645508,2905.538086,753.293213
